Date,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus
11/18/2021,Chariton County,MO,35.1,2605,41.4,44,57.7,91.2,39,2889
11/18/2021,Union County,SD,46.4,7399,55.2,57.9,74,96.3,55.8,8803
11/18/2021,Northampton County,PA,61.4,187459,70.1,71.9,91.9,94.5,85.5,259046
11/18/2021,Mackinac County,MI,70.9,7655,78.4,81.7,88.5,97.7,77.3,8350
11/18/2021,Crowley County,CO,20,1210,21.5,21.7,53.6,97.3,21.4,1287
11/18/2021,Cleveland County,AR,48.3,3842,55.4,57.8,70.1,90.3,55.6,4413
11/18/2021,Catahoula Parish,LA,37.1,3523,43,45.1,74.4,96.7,42.9,4064
11/18/2021,Collier County,FL,65.1,250457,72.9,75.2,91,98.7,74.8,286984
11/18/2021,Grant County,WV,13.7,1587,15.7,16.7,23.4,60.3,18.6,2147
11/18/2021,Sutton County,TX,40.6,1534,48,51,78.7,99.1,46,1738
11/18/2021,Cleveland County,NC,45,44051,52.4,54.4,77.8,97.2,56.2,54798
11/18/2021,Unknown County,MI,0,124763,0,0,0,97.7,0,313791
11/18/2021,Broadwater County,MT,30.2,1883,34.6,36.7,61.4,95.7,37.1,2314
11/18/2021,Sullivan County,NY,54.8,41312,63.5,65.5,77.3,97.6,60.1,45225
11/18/2021,Monterey County,CA,61.5,267075,74.3,75.4,81.8,97.4,72.6,311152
11/18/2021,Lee County,MS,40.1,34218,47.9,50.5,76.5,98.3,44.7,38123
11/18/2021,Saline County,NE,46.7,6643,56.3,58.1,81.5,89.8,0,
11/18/2021,Tehama County,CA,37.1,24146,43.9,46.2,61.4,97.4,43,27877
11/18/2021,Lowndes County,AL,43.6,4238,51.3,53.1,73.8,92.6,56.9,5524
11/18/2021,Mercer County,NJ,62.4,229224,72.4,72.9,79.5,93.6,75.9,274262
11/18/2021,Forest County,WI,55.3,4979,63.6,66.2,91.9,96.8,61,5486
11/18/2021,Anderson County,TN,51.1,39333,59.1,61.7,82.3,97.9,57.4,43931
11/18/2021,Chelan County,WA,64.5,49782,76.3,78.3,90.7,96.1,70.9,54448
11/18/2021,Lyon County,NV,37.8,21746,44,46.1,58.4,94.9,43.3,24827
11/18/2021,Pinellas County,FL,59.9,584230,66.8,68.4,83,98.7,67.3,652103
11/18/2021,Kit Carson County,CO,35.2,2500,42.1,45.2,69.2,97.3,37.5,2658
11/18/2021,Mississippi County,AR,36.9,15003,44.5,46.9,69.3,90.3,43,17450
11/18/2021,Stillwater County,MT,39.2,3783,44.9,48.6,75.3,95.7,43.1,4151
11/18/2021,Irwin County,GA,14.6,1376,16.8,16.5,20.4,58.3,16.2,1520
11/18/2021,Unknown County,TX,0,138900,0,0,0,99.1,0,
11/18/2021,Sullivan County,NH,57.9,25000,65.6,67.7,83.7,94.1,72.8,31301
11/18/2021,Audrain County,MO,34.1,8659,39.8,42.3,70.4,91.2,39,9886
